"","Latitude","Longitude","Species","Date Observed","Site"
"86",32.24341,-111.167754,"Danaus gilippus","6/30/2015","iNat"
"87",32.243083,-111.167099,"Agraulis vanillae","6/30/2015","iNat"
"88",32.161445,-111.027107,"Battus philenor","6/30/2015","iNat"
"89",32.24362167,-111.1674717,"Danaus gilippus","6/30/2015","iNat"
"90",32.24345,-111.1678167,"Danaus gilippus","6/30/2015","iNat"
"91",32.24301951,-111.1658521,"Agraulis vanillae","6/30/2015","iNat"
"92",32.24307,-111.1670717,"Agraulis vanillae","6/30/2015","iNat"
"93",32.204723,-110.958697,"Battus philenor","6/30/2015","iNat"
"94",32.312986,-110.797126,"Heliopetes domicella","7/3/2015","iNat"
"95",32.245723,-111.067873,"Staphylus ceos","7/12/2015","iNat"
"96",32.19196096,-111.0208956,"Battus philenor","7/17/2015","iNat"
"97",32.126347,-110.933794,"Papilio rumiko","7/24/2015","iNat"
"98",32.12627833,-110.9335883,"Papilio rumiko","7/24/2015","iNat"
"99",32.278349,-111.022941,"Danaus gilippus","7/27/2015","iNat"
"100",32.278349,-111.022941,"Danaus gilippus","7/27/2015","iNat"
"101",32.278349,-111.022941,"Battus philenor","7/27/2015","iNat"
"102",32.278349,-111.022941,"Asterocampa leilia","7/27/2015","iNat"
"103",32.278349,-111.022941,"Libytheana carinenta","7/27/2015","iNat"
"104",32.27940833,-111.0226138,"Ministrymon leda","7/27/2015","iNat"
"105",32.278349,-111.022941,"Danaus gilippus","7/27/2015","iNat"
"106",32.278349,-111.022941,"Asterocampa celtis","7/27/2015","iNat"
"107",32.278889,-111.022049,"Battus philenor","7/27/2015","iNat"
"108",32.278889,-111.022049,"Danaus gilippus","7/27/2015","iNat"
"109",32.278889,-111.022049,"Asterocampa leilia","7/27/2015","iNat"
"110",32.245776,-111.067801,"Euptoieta claudia","8/4/2015","iNat"
"111",32.245774,-111.067797,"Euptoieta hegesia","8/7/2015","iNat"
"112",32.245738,-111.067652,"Papilio multicaudata","8/7/2015","iNat"
"113",32.245766,-111.067843,"Hemiargus ceraunus","8/7/2015","iNat"
"114",32.245737,-111.067646,"Libytheana carinenta","8/8/2015","iNat"
"115",32.24574,-111.067645,"Phoebis sennae","8/8/2015","iNat"
"116",32.245737,-111.067647,"Ministrymon leda","8/8/2015","iNat"
"117",32.245776,-111.067786,"Pyrisitia proterpia","8/8/2015","iNat"
"118",32.245743,-111.067642,"Danaus gilippus","8/10/2015","iNat"
"119",32.245774,-111.067806,"Urbanus dorantes","8/18/2015","iNat"
"120",32.245737,-111.067647,"Chlosyne lacinia","8/21/2015","iNat"
"121",32.245778,-111.067807,"Hylephila phyleus","8/21/2015","iNat"
"122",32.245772,-111.067847,"Echinargus isola","8/22/2015","iNat"
"123",32.243224,-111.167466,"Danaus gilippus","9/13/2015","iNat"
"124",32.22174,-110.92648,"Libytheana carinenta","9/30/2015","iNat"
"125",32.24330052,-111.1673827,"Danaus gilippus","10/17/2015","iNat"
"126",32.2547,-111.197225,"Danaus plexippus","10/25/2015","iNat"
"127",32.254634,-111.197918,"Atlides halesus","10/28/2015","iNat"
"128",32.254788,-111.197214,"Chiomara georgina","10/29/2015","iNat"
"129",32.254441,-111.198235,"Atlides halesus","10/29/2015","iNat"
"130",32.256857,-110.944943,"Danaus gilippus","10/30/2015","iNat"
"131",32.190549,-111.097124,"Papilio rumiko","11/5/2015","iNat"
"132",32.164633,-110.721347,"Mestra amymone","11/5/2015","iNat"
"133",32.131771,-110.96541,"Zerene cesonia","11/7/2015","iNat"
"134",32.131332,-110.964936,"Anthanassa texana","11/7/2015","iNat"
"135",32.245559,-111.067928,"Mestra amymone","11/8/2015","iNat"
"136",32.176228,-110.813685,"Anthanassa texana","11/13/2015","iNat"
"137",32.245767,-111.067916,"Vanessa atalanta","11/14/2015","iNat"
"138",32.235074,-110.711905,"Brephidium exilis","11/25/2015","iNat"
"139",32.244013,-111.168174,"Celastrina echo","12/21/2015","iNat"
"140",32.244013,-111.168174,"Eurema mexicana","12/21/2015","iNat"
"141",32.244013,-111.168174,"Danaus gilippus","12/21/2015","iNat"
"142",32.203829,-110.724478,"Hemiargus ceraunus","12/23/2015","iNat"
"143",32.245615,-111.067887,"Libytheana carinenta","1/3/2016","iNat"
"144",32.245605,-111.067912,"Eurema mexicana","1/3/2016","iNat"
"145",32.245623,-111.067893,"Abaeis nicippe","1/3/2016","iNat"
"146",32.28515333,-111.0368417,"Pontia protodice","1/6/2016","iNat"
"147",32.211458,-110.992399,"Vanessa cardui","1/6/2016","iNat"
"148",32.211458,-110.992399,"Atlides halesus","1/6/2016","iNat"
"149",32.27794444,-111.1996111,"Nathalis iole","1/20/2016","iNat"
"150",32.249775,-111.18251,"Anthocharis thoosa","2/10/2016","iNat"
"151",32.24051258,-110.9364013,"Anthanassa texana","2/21/2016","iNat"
"152",32.182933,-110.730602,"Calephelis nemesis","2/23/2016","iNat"
"153",32.182933,-110.730602,"Hemiargus ceraunus","2/23/2016","iNat"
"154",32.186052,-110.731623,"Battus philenor","2/23/2016","iNat"
"155",32.25462,-111.160397,"Anthanassa texana","2/24/2016","iNat"
"156",32.25608,-111.15911,"Libytheana carinenta","2/24/2016","iNat"
"157",32.31982518,-110.8083111,"Vanessa atalanta","2/24/2016","iNat"
"158",32.183538,-110.708196,"Asterocampa leilia","2/26/2016","iNat"
"159",32.18401,-110.709591,"Echinargus isola","2/26/2016","iNat"
"160",32.245541,-111.067917,"Anthanassa texana","2/28/2016","iNat"
"161",32.244013,-111.168174,"Asterocampa leilia","2/28/2016","iNat"
"162",32.244013,-111.168174,"Anthanassa texana","2/28/2016","iNat"
"163",32.127867,-111.06811,"Icaricia lupini","3/3/2016","iNat"
"164",32.249541,-111.013616,"Hylephila phyleus","3/5/2016","iNat"
"165",32.33843158,-110.9806414,"Asterocampa leilia","3/9/2016","iNat"
"166",32.177472,-110.716077,"Strymon melinus","3/11/2016","iNat"
"167",32.22892203,-110.9638005,"Papilio rumiko","3/16/2016","iNat"
"168",32.272114,-111.210694,"Heliopetes domicella","3/18/2016","iNat"
"169",32.24330333,-111.1674767,"Celastrina echo","3/19/2016","iNat"
"170",32.24309833,-111.1670567,"Libytheana carinenta","3/19/2016","iNat"
"171",32.24311667,-111.1670483,"Libytheana carinenta","3/19/2016","iNat"
"172",32.243,-111.1670017,"Anthanassa texana","3/19/2016","iNat"
"173",32.24351,-111.167935,"Celastrina echo","3/19/2016","iNat"
"174",32.24343333,-111.16751,"Danaus gilippus","3/19/2016","iNat"
"175",32.24345167,-111.1675167,"Echinargus isola","3/19/2016","iNat"
"176",32.296736,-111.166615,"Pontia protodice","3/20/2016","iNat"
"177",32.25455201,-111.1977191,"Asterocampa leilia","3/23/2016","iNat"
"178",32.185904,-110.731343,"Battus philenor","4/8/2016","iNat"
"179",32.258338,-111.154771,"Leptotes marina","4/12/2016","iNat"
"180",32.256482,-111.158065,"Systasea zampa","4/12/2016","iNat"
"181",32.256482,-111.158065,"Hemiargus ceraunus","4/12/2016","iNat"
"182",32.26825,-110.9743283,"Battus philenor","4/12/2016","iNat"
"183",32.244013,-111.168174,"Calephelis nemesis","4/13/2016","iNat"
"184",32.309582,-110.8231912,"Hylephila phyleus","4/14/2016","iNat"
"185",32.20284685,-110.867157,"Papilio rumiko","4/14/2016","iNat"
"186",32.309582,-110.8231912,"Asterocampa leilia","4/14/2016","iNat"
"187",32.179422,-110.735359,"Strymon melinus","4/15/2016","iNat"
"188",32.203759,-110.72515,"Libytheana carinenta","4/17/2016","iNat"
"189",32.210095,-110.726952,"Strymon melinus","4/17/2016","iNat"
"190",32.24335556,-111.1676722,"Agraulis vanillae","4/18/2016","iNat"
"191",32.24335556,-111.1676722,"Agraulis vanillae","4/18/2016","iNat"
"192",32.249541,-111.013616,"Papilio rumiko","4/23/2016","iNat"
"193",32.24829321,-110.9086262,"Anthanassa texana","4/30/2016","iNat"
"194",32.125479,-110.934171,"Abaeis nicippe","5/7/2016","iNat"
"195",32.232874,-110.900387,"Strymon melinus","5/27/2016","iNat"
"196",32.245783,-111.067862,"Leptotes marina","5/30/2016","iNat"
"197",32.23734551,-110.9468149,"Leptotes marina","6/3/2016","iNat"
"198",32.24943986,-111.0138386,"Pontia protodice","6/27/2016","iNat"
"199",32.24035968,-110.9447324,"Papilio polyxenes","6/29/2016","iNat"
"200",32.244013,-111.168174,"Battus philenor","7/15/2016","iNat"
