"","Latitude","Longitude","Date Observed","Site","philenor","sennae","mexicana","marina","isola","vanillae","cardui","plexippus","texana","gilippus","agarithe","funeralis","rumiko","carinenta","eufala","ceraunus","istapa","nemesis","protodice","cesonia","nicippe","iole","halesus","leilia","leda","palmerii","melinus","virginiensis","claudia","elada","zampa","lacinia","phyleus","dymas","hippalus","boisduvaliana","proterpia","astyalus","albescens","echo","aurantiaca","tristis","lyside","coenia","arizonensis","atalanta","charithonia","simaethis","eulalia","antiopa","domicella","eurytheme","Unknown sp1","catullus","polyxenes","exilis","cyneas","genoveva","ladon","annabella","rapae","celtis","multicaudata","dorantes","sara thoosa","cethura","sisymbrii","sara","philetas","ceos","grynea","acastus","satyrus","acmon","nessus","rita","mormo","lotta","augustinus","Limenitis arthemis astyanax","pacuvius","pyracmon","clorinde"
"11",32.339288,-110.981741,"9/3/2016","Tohono Chul",7,31,NA,18,NA,36,NA,4,15,89,NA,NA,2,18,NA,4,NA,NA,1,8,9,9,NA,3,NA,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",32.339288,-110.981741,"8/27/2016","Tohono Chul",4,58,NA,26,NA,50,NA,1,NA,100,1,NA,3,1,NA,5,NA,NA,NA,6,NA,NA,NA,10,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",32.339288,-110.981741,"8/20/2016","Tohono Chul",4,64,1,29,NA,27,NA,4,14,92,1,NA,3,4,NA,1,NA,3,NA,3,11,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",32.339288,-110.981741,"8/13/2016","Tohono Chul",4,43,NA,31,NA,12,NA,2,25,43,NA,1,NA,NA,NA,3,NA,2,NA,5,5,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",32.339288,-110.981741,"8/6/2016","Tohono Chul",4,19,1,23,NA,7,NA,3,8,34,NA,NA,1,NA,NA,1,NA,NA,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",32.339288,-110.981741,"12/10/2016","Tohono Chul",7,NA,NA,4,1,3,2,6,1,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",32.339288,-110.981741,"12/17/2016","Tohono Chul",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",32.339288,-110.981741,"12/24/2016","Tohono Chul",1,NA,NA,NA,NA,4,NA,4,NA,22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",32.339288,-110.981741,"8/14/2014","Tohono Chul",13,15,2,6,NA,11,NA,NA,2,51,4,NA,1,1,NA,3,NA,NA,1,8,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",32.339288,-110.981741,"8/12/2014","Tohono Chul",4,25,3,11,NA,10,1,NA,1,15,1,NA,NA,NA,NA,4,NA,NA,NA,5,6,10,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",32.339288,-110.981741,"8/23/2014","Tohono Chul",2,31,4,18,NA,15,NA,NA,10,25,1,NA,4,NA,NA,2,NA,NA,NA,4,8,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",32.339288,-110.981741,"8/28/2014","Tohono Chul",4,27,1,25,1,9,NA,NA,6,70,NA,NA,1,1,NA,NA,NA,NA,NA,4,7,9,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
