observed_on_string,observed_on,tag_list,description,captive_cultivated,oauth_application_id,latitude,longitude,geoprivacy,taxon_geoprivacy,positioning_method,scientific_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
18-Sep-12,9/18/2012,iNatFirst,"<em>Apatelodes pudefacta</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.340328,-110.685324,,,,Apatelodes pudefacta,Insecta,143887,Apatelodes,Apatelodes pudefacta
18-Sep-12,9/18/2012,,"<em>Adelpha eulalia</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.347897,-110.678801,,,,Adelpha eulalia,Insecta,67559,Adelpha,Adelpha eulalia
18-Sep-12,9/18/2012,,"<em>Adelpha eulalia</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012. Oaks are host for the caterpillars of this species.",FALSE,,32.346492,-110.679359,,,,Adelpha eulalia,Insecta,67559,Adelpha,Adelpha eulalia
18-Sep-12,9/18/2012,,"<em>Leptotes marina</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.345631,-110.678919,,,,Leptotes marina,Insecta,59152,Leptotes,Leptotes marina
18-Sep-12,9/18/2012,,"<em>Leptotes marina</em>. Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.347083,-110.678844,,,,Leptotes marina,Insecta,59152,Leptotes,Leptotes marina
18-Sep-12,9/18/2012,,"<em>Hemiargus ceraunus</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.347897,-110.678801,,,,Hemiargus ceraunus,Insecta,69940,Hemiargus,Hemiargus ceraunus
18-Sep-12,9/18/2012,"LLF, iNatFirst","<em>Limenitis arthemis arizonensis</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.346111,-110.679906,,,,Limenitis arthemis arizonensis,Insecta,60606,Limenitis,Limenitis arthemis
18-Sep-12,9/18/2012,LLF,"<em>Megisto rubricata</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.340401,-110.685646,,,,Megisto rubricata,Insecta,182997,Megisto,Megisto rubricata
18-Sep-12,9/18/2012,LLF,"<em>Apatelodes pudefacta</em>.  Molino Basin, Santa Catalina Mountains, Pima County, Arizona, USA. 18 September 2012.",FALSE,,32.343457,-110.684194,,,,Apatelodes pudefacta,Insecta,143887,Apatelodes,Apatelodes pudefacta
6-Apr-03,4/6/2003,,"Empress Leilia
Asterocampa leilia
Nymphalidae
Tucson, Pima Co., AZ
6 April 2003",FALSE,,32.30303192,-110.9580647,,,,Asterocampa leilia,Insecta,148793,Asterocampa,Asterocampa leilia
27-Jul-13,7/27/2013,,"Pima County, Arizona, US",FALSE,,32.278549,-111.022495,,,,Danaus gilippus,Insecta,51743,Danaus,Danaus gilippus
2014-03-05 3:14:54 PM MST,3/5/2014,,,FALSE,2,32.34098145,-112.8818383,,,gps,Eupackardia calleta,Insecta,192721,Eupackardia,Eupackardia calleta
17-Feb-14,2/17/2014,LLF,A bordered patch flying early in the year.,FALSE,,32.341482,-110.683562,,,,Chlosyne lacinia,Insecta,68240,Chlosyne,Chlosyne lacinia
7-Apr-14,4/7/2014,,"Pima County, Arizona, US",FALSE,,32.278889,-111.022049,,,,Brephidium exilis,Insecta,53843,Brephidium,Brephidium exilis
7-Apr-14,4/7/2014,,"Pima County, Arizona, US",FALSE,,32.278889,-111.022049,,,,Brephidium exilis,Insecta,53843,Brephidium,Brephidium exilis
Sun Aug 10 2014 12:03:44 GMT-0700 (MST),8/10/2014,,,FALSE,3,32.41882,-110.7106083,,,,Eurema mexicana,Insecta,122374,Eurema,Eurema mexicana
Tue Aug 12 2014 13:00:56 GMT-0700 (PDT),8/12/2014,,,FALSE,3,32.4274,-110.7563033,,,,Celastrina echo,Insecta,52484,Celastrina,Celastrina echo
2014-08-25 8:52 AM MST,8/25/2014,,Place marker for drain next to Ritz,FALSE,2,32.480866,-111.089994,,,gps,Asterocampa leilia,Insecta,148793,Asterocampa,Asterocampa leilia
2014-08-25 9:40 AM MST,8/25/2014,,,FALSE,,32.480866,-111.089994,,,,Libytheana carinenta,Insecta,58561,Libytheana,Libytheana carinenta
